,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
3,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,26,4100,2.9608168601989746,0.753352165222168
4,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,27,4200,2.732583999633789,0.8465699553489685
5,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,28,8600,2.0199551582336426,0.6347114443778992
6,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,29,5800,2.9505178928375244,1.2609237432479858
7,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,30,7100,2.12861442565918,0.8595617413520813
8,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,31,5400,1.9512939453125,0.44409993290901184
9,gd,5.0,1024,2,5120,0.001,0.0,False,8000,0,100,22,10,32,6600,2.825124502182007,0.7885661721229553
0,sgd,2.0,1024,1,32,0.002,0.9,False,10000,0,100,37,5,38,100000,6.014686658978463,132.53758192062378
1,sgd,2.0,1024,1,32,0.002,0.9,False,10000,0,100,37,5,39,100000,6.160437632352114,192.87861263751984
0,gd,9.0,1024,2,9216,0.001,0.0,False,8000,0,100,32,10,33,2300,1.76446270942688,0.09532694518566133
1,gd,9.0,1024,2,9216,0.001,0.0,False,8000,0,100,32,10,34,2500,1.7494970560073853,0.1251663714647293
